Transaction_ID,Date,Description,Amount,Payment_Method,Category
TXN000030,2025-03-28,UPI VEHICLE FUEL,490.15,Wallet,Fuel
TXN000031,2025-08-09,NETFLIX SUBSCRIPTION ONLINE,879.43,Wallet,Entertainment
TXN000032,2026-04-25,POS LIVE EVENT TICKET,797.67,Credit Card,Entertainment
TXN000033,2024-07-27,POS COMMERCIAL VEHICLE FUEL,4903.57,Credit Card,Fuel
TXN000034,2026-02-02,panipuri,704.59,UPI,Food
TXN000035,2025-10-04,UPI INVESTMENT DEPOSIT,55231.98,Credit Card,Investment
TXN000036,2025-05-18,RAPIDO BIKE ONLINE,6743.73,UPI,Travel
TXN000037,2024-05-28,STEAM PURCHASE,4827.78,Net Banking,Entertainment
TXN000038,2026-02-19,INVESTMENT TRANSFER ONLINE,88634.19,Net Banking,Investment
TXN000039,2024-08-19,SAMSUNG STORE PUNE,19233.06,Credit Card,Shopping
TXN000040,2026-01-16,RESORT BOOKING INDIA,1479.91,Wallet,Travel
TXN000041,2024-06-08,POS ENTERTAINMENT EXPENSE,4650.96,Wallet,Entertainment
TXN000042,2026-05-16,ONLINE EARNINGS,75719.42,Wallet,Income
TXN000043,2025-06-11,POS PROJECT MATERIALS,47136.91,Debit Card,Education
TXN000044,2025-07-31,ANGEL ONE INVESTMENT,74655.12,Cash,Investment
TXN000045,2025-03-29,CHARITY PAYMENT ONLINE,8458.39,Cash,Other
TXN000046,2024-10-14,PROPERTY RENTAL INDIA,42254.14,UPI,Rent
TXN000047,2024-04-15,UPI HALDIRAM'S,1261.07,Cash,Food
TXN000048,2025-11-06,DIESEL REFILL PUNE,4085.31,Credit Card,Fuel
TXN000049,2025-09-05,RTGS TRANSFER #9588,2629.56,Net Banking,Other
TXN000050,2024-01-05,STEAM PURCHASE,3488.0,Debit Card,Entertainment
TXN000051,2026-04-09,CARNIVAL CINEMAS,1057.61,Wallet,Entertainment
TXN000052,2026-04-19,BIKE FUEL #8576,1241.9,UPI,Fuel
TXN000053,2024-02-06,OFFICE LEASE ONLINE,45524.02,Net Banking,Rent
TXN000054,2025-11-09,POS REDBUS TICKET,1173.93,Debit Card,Travel
TXN000055,2025-02-13,IMPS CREDIT #3666,187114.71,Cash,Income
TXN000056,2025-10-09,SERVICE CHARGE #6065,6075.69,Debit Card,Other
TXN000057,2024-02-21,MONTHLY SALARY ONLINE,89160.15,Net Banking,Income
TXN000058,2024-10-13,Indian Oil Fuel,2414.61,Debit Card,Fuel
TXN000059,2025-04-14,MOBILE GAME PURCHASE,2522.36,Cash,Entertainment
TXN000060,2025-11-01,DELHI METRO INDIA,4984.71,Wallet,Travel
TXN000061,2025-09-09,LOCAL TRAIN TICKET ONLINE,5980.53,Net Banking,Travel
TXN000062,2024-08-07,TEMPLE DONATION INDIA,677.68,UPI,Other
TXN000063,2025-10-12,HYPERMARKET PURCHASE,11471.46,Cash,Shopping
TXN000064,2024-02-26,UPI PENSION CONTRIBUTION,23627.44,Credit Card,Investment
TXN000065,2025-03-08,INDIAN OIL FUEL,2866.28,Wallet,Fuel
TXN000066,2025-08-01,LPG CYLINDER BOOKING PUNE,6469.38,UPI,Bills
TXN000067,2024-02-03,Pediatric Consultation,2975.04,Cash,Healthcare
TXN000068,2024-08-19,PORTFOLIO INVESTMENT #1776,26689.41,Wallet,Investment
TXN000069,2025-11-04,FLAT RENT,10420.81,UPI,Rent
TXN000070,2024-11-28,TAX REFUND #9020,237774.37,Debit Card,Income
TXN000071,2025-01-03,ZEE5 SUBSCRIPTION INDIA,1278.69,Cash,Entertainment
TXN000072,2025-03-28,UPI MORE SUPERMARKET,2143.79,Credit Card,Shopping
TXN000073,2024-07-06,LEASE PAYMENT,25752.39,Net Banking,Rent
TXN000074,2025-01-10,UNACADEMY SUBSCRIPTION INDIA,85007.39,Net Banking,Education
TXN000075,2025-04-27,REAL ESTATE INVESTMENT ONLINE,58860.6,Net Banking,Investment
TXN000076,2024-07-21,GIFT PURCHASE,8288.7,Debit Card,Other
TXN000077,2025-08-16,HOSPITAL BILL #1758,7929.36,Debit Card,Healthcare
TXN000078,2025-04-05,HOSTEL RENT,23308.75,Debit Card,Rent
TXN000079,2026-03-30,VEDANTU CLASSES #9265,26686.54,Net Banking,Education
TXN000080,2024-01-22,POS BMTC BUS TICKET,3327.21,UPI,Travel
TXN000081,2025-08-19,Travel Agency,4707.61,UPI,Travel
TXN000082,2025-08-15,POS PORTFOLIO INVESTMENT,105950.0,Debit Card,Investment
TXN000083,2025-01-14,ZOO ENTRY TICKET,1741.65,Net Banking,Entertainment
TXN000084,2025-06-27,HATHWAY BROADBAND PUNE,11553.31,UPI,Bills
TXN000085,2025-11-15,UPI RETIREMENT FUND,148708.53,Debit Card,Investment
TXN000086,2024-03-17,MCDONALD'S #1014,722.32,UPI,Food
TXN000087,2024-11-01,POS DISNEY+ HOTSTAR,4960.42,Wallet,Entertainment
TXN000088,2024-09-06,FORTIS HOSPITAL #9022,4727.13,Wallet,Healthcare
TXN000089,2024-04-19,THE BELGIAN WAFFLE CO INDIA,525.48,UPI,Food
TXN000090,2025-05-20,INDIAN OIL FUEL #8614,2657.19,Debit Card,Fuel
TXN000091,2024-08-27,KEM HOSPITAL INDIA,11656.94,Credit Card,Healthcare
TXN000092,2025-09-17,UPI INTEREST CREDIT,127218.54,Credit Card,Income
TXN000093,2026-04-21,IMPS TRANSFER INDIA,4399.51,UPI,Other
TXN000094,2024-11-27,POS INCENTIVE CREDIT,214680.19,Cash,Income
TXN000095,2026-06-04,POS MAKEMYTRIP HOTEL,1295.38,Credit Card,Travel
TXN000096,2025-02-10,PASSPORT FEE ONLINE,5319.8,Net Banking,Other
TXN000097,2025-04-20,EASEMYTRIP BOOKING,6078.99,Debit Card,Travel
TXN000098,2024-08-21,PEPPERFRY PUNE,20132.59,UPI,Shopping
TXN000099,2025-12-06,POS STATIONERY SHOP,15673.02,Credit Card,Shopping
TXN000100,2024-11-01,JEHANGIR HOSPITAL #6454,11751.65,Credit Card,Healthcare
TXN000101,2025-09-18,VEHICLE FUEL ONLINE,4946.16,Debit Card,Fuel
TXN000102,2024-06-08,UPI RTGS TRANSFER,8900.25,Cash,Other
TXN000103,2025-06-11,INDIGO FLIGHT PUNE,5303.68,Wallet,Travel
TXN000104,2025-12-22,NOTEBOOK PURCHASE,92504.95,Cash,Education
TXN000105,2026-03-25,NGO DONATION PUNE,7425.03,Wallet,Other
TXN000106,2024-12-29,BIG BAZAAR #5300,11207.3,Net Banking,Shopping
TXN000107,2025-01-18,YOUTUBE REVENUE INDIA,117593.51,Cash,Income
TXN000108,2024-01-30,UPI VACCINATION,11698.61,Cash,Healthcare
TXN000109,2024-08-05,FREE FIRE DIAMONDS INDIA,3369.44,UPI,Entertainment
TXN000110,2025-10-23,WEEKEND MOVIE #6034,743.21,Net Banking,Entertainment
TXN000111,2026-02-26,Medical Expenses,9736.31,Credit Card,Healthcare
TXN000112,2024-10-26,UPI AMAZON PRIME VIDEO,1706.89,Wallet,Entertainment
TXN000113,2026-01-06,POS SILVER INVESTMENT,111792.98,Wallet,Investment
TXN000114,2025-03-19,Internship Stipend,183858.79,Credit Card,Income
TXN000115,2025-12-31,POS YOUTUBE PREMIUM,489.62,Debit Card,Entertainment
TXN000116,2025-10-23,BEST BUS TICKET PUNE,6136.7,Credit Card,Travel
TXN000117,2025-05-09,PARKING FEE ONLINE,1360.62,Credit Card,Travel
TXN000118,2026-06-14,SAGAR RATNA,139.68,Credit Card,Food
TXN000119,2025-02-14,BITCOIN INVESTMENT PUNE,87254.92,Wallet,Investment
TXN000120,2024-01-07,HYDERABAD METRO ONLINE,6544.65,Net Banking,Travel
TXN000121,2026-05-06,POS TRAVEL INSURANCE,5577.62,Cash,Travel
TXN000122,2025-06-06,COLLEGE CANTEEN FEE INDIA,99537.33,Debit Card,Education
TXN000123,2025-10-31,AMAZON PAY #3186,19565.32,Wallet,Shopping
TXN000124,2024-09-03,TAX SAVING MUTUAL FUND #7404,30998.54,Wallet,Investment
TXN000125,2025-09-07,AMAZON PAY #2981,15642.38,Debit Card,Shopping
TXN000126,2025-01-22,BOAT LIFESTYLE INDIA,15271.57,Cash,Shopping
TXN000127,2026-04-02,SMALLCASE INVESTMENT #4899,178899.35,Credit Card,Investment
TXN000128,2025-04-13,AUTO FUEL PUNE,3938.09,Credit Card,Fuel
TXN000129,2025-03-17,POS HIGHWAY FUEL STOP,772.26,Cash,Fuel
TXN000130,2024-04-02,PG RENT,5346.19,Debit Card,Rent
TXN000131,2025-07-22,DIVIDEND CREDIT INDIA,159313.96,Credit Card,Income
TXN000132,2025-11-24,PROPERTY LEASE ONLINE,33210.62,Cash,Rent
TXN000133,2024-02-15,POS LEASE PAYMENT,18035.42,Credit Card,Rent
TXN000134,2024-08-27,COMPANY SALARY INDIA,86949.01,Debit Card,Income
TXN000135,2024-05-11,SUBWAY ONLINE,1146.72,Credit Card,Food
TXN000136,2025-12-22,PROPERTY LEASE ONLINE,30746.69,UPI,Rent
TXN000137,2025-06-15,UTILITY BILL PAYMENT PUNE,4770.89,Net Banking,Bills
TXN000138,2026-04-07,POS NPTEL COURSE,16847.32,UPI,Education
TXN000139,2024-07-06,CAPITAL INVESTMENT INDIA,126300.55,UPI,Investment
TXN000140,2024-08-01,POS RESTAURANT BILL,630.78,Debit Card,Food
TXN000141,2025-09-12,BROADBAND BILL INDIA,8916.6,Debit Card,Bills
TXN000142,2025-01-21,PARKING FEE,4225.8,Wallet,Travel
TXN000143,2024-04-17,PANTALOONS ONLINE,3818.58,UPI,Shopping
TXN000144,2026-03-09,BAKERY PURCHASE #1441,510.11,Credit Card,Food
TXN000145,2024-12-21,COMPETITION REGISTRATION INDIA,21076.42,Wallet,Education
TXN000146,2026-06-30,POS PHYSIOTHERAPY SESSION,5273.54,Cash,Healthcare
TXN000147,2024-10-15,RELIANCE DIGITAL INDIA,21417.38,Debit Card,Shopping
TXN000148,2024-12-06,UPI MEDPLUS PHARMACY,14717.59,Debit Card,Healthcare
TXN000149,2025-05-14,POS YOUTUBE PREMIUM,736.05,Net Banking,Bills
TXN000150,2024-02-14,THEATRE TICKET INDIA,2369.48,Wallet,Entertainment
TXN000151,2024-12-09,UPI DISH TV RECHARGE,3984.75,UPI,Bills
TXN000152,2024-07-22,JUICE CENTER PUNE,132.73,Debit Card,Food
TXN000153,2025-03-21,UPI CANTEEN PAYMENT,1419.42,Wallet,Food
TXN000154,2024-09-08,Rental Car,4154.11,UPI,Travel
TXN000155,2024-03-19,Workshop Registration,39689.73,Net Banking,Education
TXN000156,2025-09-14,BIRYANI BY KILO INDIA,1490.89,Credit Card,Food
TXN000157,2025-01-29,UPI SPOTIFY PREMIUM,115.48,Cash,Entertainment
TXN000158,2024-11-12,UPI ONLINE EARNINGS,103543.58,Credit Card,Income
TXN000159,2024-03-02,TRUCK FUEL #8505,2223.67,Wallet,Fuel
TXN000160,2024-05-08,RAPIDO AUTO INDIA,711.14,UPI,Travel
TXN000161,2024-07-11,UPI INDIGO FLIGHT,6543.96,Credit Card,Travel
TXN000162,2024-03-25,COVID TEST PUNE,9069.47,Wallet,Healthcare
TXN000163,2024-09-27,POS RAILWAY PLATFORM TICKET,7290.96,Debit Card,Travel
TXN000164,2024-11-12,UPI GOLD INVESTMENT,64635.9,Wallet,Investment
TXN000165,2025-02-20,OLA OUTSTATION #6134,1351.08,Debit Card,Travel
TXN000166,2025-07-22,MakeMyTrip Flight,4072.06,Net Banking,Travel
TXN000167,2024-05-02,SWIGGY BENGALURU ONLINE,460.58,Wallet,Food
TXN000168,2025-03-15,FRESHMENU,1098.21,Cash,Food
TXN000169,2025-12-23,APOLLO PHARMACY,10909.61,Credit Card,Healthcare
TXN000170,2025-05-30,POS CHEQUE DEPOSIT,9433.21,UPI,Other
TXN000171,2024-08-01,POS MISCELLANEOUS EXPENSE,222.36,Debit Card,Other
TXN000172,2025-12-13,YOUTUBE PREMIUM ONLINE,1872.75,Cash,Entertainment
TXN000173,2025-02-16,INDANE GAS #6186,8005.14,Credit Card,Bills
TXN000174,2024-01-29,POS PROPERTY TAX,4628.11,Debit Card,Bills
TXN000175,2025-11-30,PEPPERFRY PUNE,11545.43,Wallet,Shopping
TXN000176,2024-06-28,SOCIETY MAINTENANCE,3322.74,Cash,Bills
TXN000177,2025-05-02,Home Centre,6758.32,UPI,Shopping
TXN000178,2024-07-09,CARE HOSPITAL ONLINE,1881.77,Cash,Healthcare
TXN000179,2024-05-14,PHYSIOTHERAPY SESSION PUNE,5807.26,Debit Card,Healthcare
TXN000180,2026-05-23,GITHUB PRO SUBSCRIPTION PUNE,1726.88,UPI,Bills
TXN000181,2025-08-24,ANNUAL MEMBERSHIP FEE INDIA,6197.34,Net Banking,Other
TXN000182,2025-06-16,CONCERT TICKET ONLINE,4452.6,Net Banking,Entertainment
TXN000183,2025-11-08,Theobroma,1167.03,Net Banking,Food
TXN000184,2025-04-03,UDEMY COURSE #8448,95658.7,Debit Card,Education
TXN000185,2024-11-11,GITHUB PRO SUBSCRIPTION #5737,6736.0,Debit Card,Bills
TXN000186,2024-03-24,Flipkart,22567.05,Cash,Shopping
TXN000187,2025-05-05,BHARAT PETROLEUM PUNE,2201.71,Credit Card,Fuel
TXN000188,2024-07-25,POS LOCAL TRAIN TICKET,6346.89,Wallet,Travel
TXN000189,2024-03-26,BGMI UC PURCHASE,727.05,UPI,Entertainment
TXN000190,2024-06-13,POS FESTIVAL BONUS,123331.58,Credit Card,Income
TXN000191,2024-08-24,VEHICLE REFUELING INDIA,3110.43,Cash,Fuel
TXN000192,2024-10-11,UPI HOUSE MAINTENANCE,6784.91,Cash,Bills
TXN000193,2024-08-29,Security Deposit,40403.51,Net Banking,Rent
TXN000194,2026-05-29,COMMISSION CREDIT INDIA,123140.72,UPI,Income
TXN000195,2024-11-14,HYPERMARKET PURCHASE PUNE,6457.3,Wallet,Shopping
TXN000196,2025-07-12,UPI HP PETROL PUMP,4785.55,UPI,Fuel
TXN000197,2025-06-05,ZOMATO GOLD,965.61,Cash,Food
TXN000198,2025-11-03,JIOHOTSTAR SUBSCRIPTION,2461.2,Credit Card,Entertainment
TXN000199,2024-10-07,PVR Cinemas,1674.66,Cash,Entertainment
TXN000200,2024-04-17,POS CHARITY PAYMENT,2204.94,UPI,Other
TXN000201,2025-11-11,Uber Moto,5240.43,Wallet,Travel
TXN000202,2024-06-25,UPI NETFLIX SUBSCRIPTION,3183.79,Cash,Entertainment
TXN000203,2024-11-25,STATE TRANSPORT BUS #7310,1004.24,Debit Card,Travel
TXN000204,2025-09-09,PETROL BUNK ONLINE,1759.99,Net Banking,Fuel
TXN000205,2026-05-01,ENTERTAINMENT EXPENSE,3714.83,Wallet,Entertainment
TXN000206,2025-01-14,UPI UDEMY COURSE,12886.67,UPI,Education
TXN000207,2024-08-22,POS FASTAG RECHARGE,1874.05,Net Banking,Fuel
TXN000208,2025-03-19,GOOGLE ONE SUBSCRIPTION ONLINE,1939.53,UPI,Bills
TXN000209,2025-06-13,LEASE PAYMENT ONLINE,18170.39,UPI,Rent
TXN000210,2025-10-27,PRIME MEMBERSHIP INDIA,4459.06,Wallet,Entertainment
TXN000211,2026-06-21,BGMI UC Purchase,333.23,Wallet,Entertainment
TXN000212,2025-12-19,UPI APOLLO HOSPITAL,4439.88,Debit Card,Healthcare
TXN000213,2024-01-15,INOX CINEMAS INDIA,4668.97,UPI,Entertainment
TXN000214,2024-02-11,TENANT RENT,5403.63,Net Banking,Rent
TXN000215,2024-05-08,POS CLIENT PAYMENT,162020.57,Credit Card,Income
TXN000216,2024-02-05,CLOUD STORAGE SUBSCRIPTION,2498.29,Credit Card,Bills
TXN000217,2024-02-13,FLAT RENT ONLINE,48862.28,Credit Card,Rent
TXN000218,2024-05-28,POS NEFT CREDIT,165540.36,Wallet,Income
TXN000219,2025-06-02,UPI WAREHOUSE RENT,48375.97,Debit Card,Rent
TXN000220,2026-02-17,CAPITAL INVESTMENT INDIA,4516.07,Debit Card,Investment
TXN000221,2024-08-29,CHARGEZONE EV INDIA,1667.04,Cash,Fuel
TXN000222,2026-05-13,PHYSICS WALLAH COURSE ONLINE,98236.63,Credit Card,Education
TXN000223,2024-03-08,NGO DONATION PUNE,2054.54,Cash,Other
TXN000224,2025-03-30,HYPERMARKET PURCHASE INDIA,5125.3,UPI,Shopping
TXN000225,2026-05-18,BHARAT PETROLEUM INDIA,626.26,Debit Card,Fuel
TXN000226,2024-10-07,POS CRICKET MATCH TICKET,3064.8,Credit Card,Entertainment
TXN000227,2024-10-13,POS BEST BUS TICKET,3209.95,UPI,Travel
TXN000228,2024-09-02,HP FUEL STATION #8818,3329.21,Credit Card,Fuel
TXN000229,2025-06-01,Local Restaurant,231.06,Credit Card,Food
TXN000230,2024-09-16,Project Payment,56354.17,Wallet,Income
TXN000231,2026-02-26,MUNICIPAL WATER BILL PUNE,11815.67,Wallet,Bills
TXN000232,2024-07-06,POS BUSINESS INCOME,168674.86,Wallet,Income
TXN000233,2025-01-19,Water Bill,3294.04,Debit Card,Bills
TXN000234,2025-04-21,UPI NETFLIX SUBSCRIPTION,1304.08,Credit Card,Entertainment
TXN000235,2024-12-14,POS SHOP RENT,31314.09,Credit Card,Rent
TXN000236,2024-12-01,FREELANCE PAYMENT #5092,16875.02,UPI,Income
TXN000237,2025-10-19,HOSTEL RENT INDIA,17117.37,UPI,Rent
TXN000238,2025-01-27,COVID TEST,12896.61,Wallet,Healthcare
TXN000239,2025-04-09,CHINESE RESTAURANT PUNE,990.91,Cash,Food
TXN000240,2024-06-05,CLOTHES INDIA,10987.28,Net Banking,Shopping
TXN000241,2024-05-25,UPI SEMINAR FEE,52916.87,Wallet,Education
TXN000242,2024-05-10,COMMERCIAL VEHICLE FUEL PUNE,4014.32,Wallet,Fuel
TXN000243,2025-08-17,UPI VITAMIN SUPPLEMENTS,1311.66,UPI,Healthcare
TXN000244,2024-03-14,UPI PROPERTY TAX,8925.87,Cash,Bills
TXN000245,2026-03-04,MEDICAL STORE PURCHASE ONLINE,18423.21,UPI,Shopping
TXN000246,2026-04-17,BARBEQUE NATION INDIA,343.87,Cash,Food
TXN000247,2024-11-22,RETIREMENT FUND #4024,51487.67,UPI,Investment
TXN000248,2026-03-30,Truck Fuel,3336.68,Credit Card,Fuel
TXN000249,2024-01-04,PPF DEPOSIT,78575.42,Debit Card,Investment
TXN000250,2024-03-21,ETHEREUM INVESTMENT INDIA,197631.0,Debit Card,Investment
TXN000251,2025-05-15,X-RAY CHARGES ONLINE,3374.52,UPI,Healthcare
TXN000252,2026-06-29,UPI VEHICLE REFUELING,2865.11,Cash,Fuel
TXN000253,2024-12-27,DIAGNOSTIC LAB INDIA,14354.42,Credit Card,Healthcare
TXN000254,2025-12-20,UPI INTERNET BILL,3951.25,UPI,Bills
TXN000255,2025-03-07,BASKIN ROBBINS #6191,308.93,Cash,Food
TXN000256,2025-07-06,UPI JIOHOTSTAR SUBSCRIPTION,1781.97,Cash,Entertainment
TXN000257,2025-11-04,ETF INVESTMENT ONLINE,157402.88,Wallet,Investment
TXN000258,2025-08-14,TATA CLIQ ONLINE,9250.71,Cash,Shopping
TXN000259,2024-09-27,CHARITY PAYMENT #6040,1921.3,Credit Card,Other
TXN000260,2024-11-22,Care Hospital,10765.75,Cash,Healthcare
TXN000261,2026-04-15,UPI WATER BILL,6788.89,Credit Card,Bills
TXN000262,2025-02-18,THE BELGIAN WAFFLE CO PUNE,1033.62,UPI,Food
TXN000263,2026-05-18,PROPERTY RENTAL INDIA,39624.47,Net Banking,Rent
TXN000264,2024-04-01,SPENCER'S RETAIL,23751.53,Credit Card,Shopping
TXN000265,2024-04-22,ATM CASH WITHDRAWAL #6760,4799.76,Cash,Other
TXN000266,2024-03-09,HOSPITAL BILL #3416,4782.67,Wallet,Healthcare
TXN000267,2025-09-02,BASKIN ROBBINS INDIA,758.44,Wallet,Food
TXN000268,2025-03-09,ATHER GRID CHARGING ONLINE,1996.04,UPI,Fuel
TXN000269,2024-12-04,CAB FUEL INDIA,1585.57,Credit Card,Fuel
TXN000270,2026-04-14,UPI GOLD INVESTMENT,160990.22,Credit Card,Investment
TXN000271,2024-02-21,Weekend Movie,4776.41,Debit Card,Entertainment
TXN000272,2024-02-28,RENTAL INCOME #3618,114199.8,Wallet,Income
TXN000273,2025-09-06,POS SIP INVESTMENT,14838.23,UPI,Investment
TXN000274,2024-01-24,SOCIETY MAINTENANCE INDIA,476.79,Credit Card,Bills
TXN000275,2024-05-21,STORAGE UNIT RENT,39391.05,Cash,Rent
TXN000276,2025-06-01,HACKATHON REGISTRATION INDIA,56993.42,Wallet,Education
TXN000277,2025-07-11,UPI OFFLINE SHOPPING,22436.79,Credit Card,Shopping
TXN000278,2026-05-29,NEFT CREDIT PUNE,226608.1,UPI,Income
TXN000279,2024-10-07,Tax Refund,225148.14,Net Banking,Income
TXN000280,2024-08-29,POS EXCITEL BROADBAND,6629.55,Debit Card,Bills
TXN000281,2026-03-18,POS GITHUB PRO SUBSCRIPTION,10972.69,Net Banking,Bills
TXN000282,2024-11-15,UPI RECEIVED #3237,216045.83,Cash,Income
TXN000283,2025-05-01,PENALTY CHARGES,9836.28,Cash,Other
TXN000284,2025-05-24,FREELANCE PAYMENT #5441,189540.09,UPI,Income
TXN000285,2024-11-12,TAX SAVING MUTUAL FUND #5423,51828.28,Wallet,Investment
TXN000286,2025-07-23,HOUSE RENT,30171.25,Net Banking,Rent
TXN000287,2025-01-30,POS ARCADE GAMES,1465.6,Debit Card,Entertainment
TXN000288,2025-11-23,POS UBER MOTO,4184.25,Net Banking,Travel
TXN000289,2024-02-08,PARKING FEE INDIA,3077.06,Debit Card,Travel
TXN000290,2025-04-23,UTILITY BILL PAYMENT #6023,2593.08,Net Banking,Bills
TXN000291,2024-02-22,UPI FASHION SHOPPING,18777.86,Wallet,Shopping
TXN000292,2024-02-10,IMPS TRANSFER PUNE,3898.95,Debit Card,Other
TXN000293,2025-05-01,UPI TRADING ACCOUNT FUNDING,127717.03,Credit Card,Investment
TXN000294,2025-07-19,Incentive Credit,21652.73,Net Banking,Income
TXN000295,2026-04-26,POS OLA RIDE,5735.86,Net Banking,Travel
TXN000296,2026-04-07,UPI PHYSICS WALLAH COURSE,45010.99,Cash,Education
TXN000297,2026-04-07,WEEKEND MOVIE,2187.75,Wallet,Entertainment
TXN000298,2025-04-08,BROADBAND BILL INDIA,10850.38,Net Banking,Bills
TXN000299,2024-05-02,VI RECHARGE PUNE,9827.47,Cash,Bills
TXN000300,2025-07-25,CHATGPT PLUS SUBSCRIPTION PUNE,1852.06,UPI,Bills
TXN000301,2025-10-26,POS YOUTUBE REVENUE,97180.36,UPI,Income
TXN000302,2024-04-18,Project Payment,191623.72,Debit Card,Income
TXN000303,2025-02-22,ROOM RENT #6333,30843.44,UPI,Rent
TXN000304,2026-01-24,PREMIUM PETROL #5624,377.92,Wallet,Fuel
TXN000305,2025-10-04,MAX FASHION #3758,19046.45,Cash,Shopping
TXN000306,2025-05-24,SHOP RENT PUNE,12169.79,Credit Card,Rent
TXN000307,2024-03-12,PUBG UC PURCHASE,978.32,Credit Card,Entertainment
TXN000308,2025-06-11,NEFT CREDIT ONLINE,122825.26,Wallet,Income
TXN000309,2026-06-06,GITHUB PRO SUBSCRIPTION ONLINE,501.33,Net Banking,Bills
TXN000310,2025-09-10,FUEL STATION PAYMENT #8417,1078.32,UPI,Fuel
TXN000311,2025-12-05,EXAM REGISTRATION FEE ONLINE,44795.09,UPI,Education
TXN000312,2025-02-15,PROPERTY RENTAL PUNE,25848.83,UPI,Rent
TXN000313,2024-01-18,POS MORE SUPERMARKET,12732.83,UPI,Shopping
TXN000314,2024-01-15,UPI HALDIRAM'S,527.74,Net Banking,Food
TXN000315,2024-01-13,POS NETMEDS ORDER,6366.03,Credit Card,Healthcare
TXN000316,2025-10-28,OFFLINE SHOPPING PUNE,14770.48,Cash,Shopping
TXN000317,2025-05-12,WOW! MOMO #2434,349.77,Wallet,Food
TXN000318,2025-04-12,UPI COMMERCIAL RENT,19246.75,Credit Card,Rent
TXN000319,2025-11-04,Theme Park Ticket,2765.34,Net Banking,Entertainment
TXN000320,2026-01-26,Ruby Hall Clinic,1635.15,Net Banking,Healthcare
TXN000321,2025-01-12,SHOPPERS STOP INDIA,16884.04,UPI,Shopping
TXN000322,2026-02-04,FUEL CARD PAYMENT #7350,1201.29,Debit Card,Fuel
TXN000323,2026-04-09,GIFT SHOP,24389.67,UPI,Shopping
TXN000324,2026-02-18,POS DIAGNOSTIC LAB,13869.99,Credit Card,Healthcare
TXN000325,2025-07-19,JEWELLERY STORE INDIA,24430.59,Net Banking,Shopping
TXN000326,2025-02-13,GARBAGE COLLECTION FEE #5741,9580.12,Wallet,Bills
TXN000327,2025-02-20,INCENTIVE CREDIT INDIA,168648.87,Cash,Income
TXN000328,2024-03-04,COMMERCIAL VEHICLE FUEL PUNE,4931.24,Wallet,Fuel
TXN000329,2024-06-29,SUPERMARKET SHOPPING INDIA,21193.64,Cash,Shopping
TXN000330,2025-07-24,Silver Investment,11266.15,Credit Card,Investment
TXN000331,2025-06-13,Lifestyle Store,3685.85,UPI,Shopping
TXN000332,2025-10-03,UPI THEME PARK TICKET,4373.88,Net Banking,Entertainment
TXN000333,2025-11-26,POS OFFICE LEASE,32019.75,Credit Card,Rent
