Transaction_ID,Date,Description,Amount,Payment_Method,Category,clean_description,merchant,day_of_week
TXN000043,2025-06-11,POS PROJECT MATERIALS,47136.91,Debit Card,Education,pos project materials,project,2
TXN000044,2025-07-31,ANGEL ONE INVESTMENT,74655.12,Cash,Investment,angel one investment,angel,3
TXN000045,2025-03-29,CHARITY PAYMENT ONLINE,8458.39,Cash,Other,charity payment online,charity,5
TXN000046,2024-10-14,PROPERTY RENTAL INDIA,42254.14,UPI,Rent,property rental india,property,0
TXN000047,2024-04-15,UPI HALDIRAM'S,1261.07,Cash,Food,upi haldiram s,haldiram,0
TXN000048,2025-11-06,DIESEL REFILL PUNE,4085.31,Credit Card,Fuel,diesel refill pune,diesel,3
TXN000049,2025-09-05,RTGS TRANSFER #9588,2629.56,Net Banking,Other,rtgs transfer,transfer,4
TXN000050,2024-01-05,STEAM PURCHASE,3488.0,Debit Card,Entertainment,steam purchase,steam,4
TXN000051,2026-04-09,CARNIVAL CINEMAS,1057.61,Wallet,Entertainment,carnival cinemas,carnival,3
TXN000052,2026-04-19,BIKE FUEL #8576,1241.9,UPI,Fuel,bike fuel,bike,6
TXN000053,2024-02-06,OFFICE LEASE ONLINE,45524.02,Net Banking,Rent,office lease online,office,1
TXN000054,2025-11-09,POS REDBUS TICKET,1173.93,Debit Card,Travel,pos redbus ticket,redbus,6
TXN000055,2025-02-13,IMPS CREDIT #3666,187114.71,Cash,Income,imps credit,credit,3
TXN000056,2025-10-09,SERVICE CHARGE #6065,6075.69,Debit Card,Other,service charge,service,3
TXN000057,2024-02-21,MONTHLY SALARY ONLINE,89160.15,Net Banking,Income,monthly salary online,monthly,2
TXN000058,2024-10-13,Indian Oil Fuel,2414.61,Debit Card,Fuel,indian oil fuel,indian,6
TXN000059,2025-04-14,MOBILE GAME PURCHASE,2522.36,Cash,Entertainment,mobile game purchase,mobile,0
TXN000060,2025-11-01,DELHI METRO INDIA,4984.71,Wallet,Travel,delhi metro india,delhi,5
TXN000061,2025-09-09,LOCAL TRAIN TICKET ONLINE,5980.53,Net Banking,Travel,local train ticket online,local,1
TXN000062,2024-08-07,TEMPLE DONATION INDIA,677.68,UPI,Other,temple donation india,temple,2
TXN000063,2025-10-12,HYPERMARKET PURCHASE,11471.46,Cash,Shopping,hypermarket purchase,hypermarket,6
TXN000064,2024-02-26,UPI PENSION CONTRIBUTION,23627.44,Credit Card,Investment,upi pension contribution,pension,0
TXN000065,2025-03-08,INDIAN OIL FUEL,2866.28,Wallet,Fuel,indian oil fuel,indian,5
TXN000066,2025-08-01,LPG CYLINDER BOOKING PUNE,6469.38,UPI,Bills,lpg cylinder booking pune,lpg,4
TXN000067,2024-02-03,Pediatric Consultation,2975.04,Cash,Healthcare,pediatric consultation,pediatric,5
TXN000068,2024-08-19,PORTFOLIO INVESTMENT #1776,26689.41,Wallet,Investment,portfolio investment,portfolio,0
TXN000069,2025-11-04,FLAT RENT,10420.81,UPI,Rent,flat rent,flat,1
TXN000070,2024-11-28,TAX REFUND #9020,237774.37,Debit Card,Income,tax refund,tax,3
TXN000071,2025-01-03,ZEE5 SUBSCRIPTION INDIA,1278.69,Cash,Entertainment,zee subscription india,zee,4
TXN000072,2025-03-28,UPI MORE SUPERMARKET,2143.79,Credit Card,Shopping,upi more supermarket,more,4
TXN000073,2024-07-06,LEASE PAYMENT,25752.39,Net Banking,Rent,lease payment,lease,5
TXN000074,2025-01-10,UNACADEMY SUBSCRIPTION INDIA,85007.39,Net Banking,Education,unacademy subscription india,unacademy,4
TXN000075,2025-04-27,REAL ESTATE INVESTMENT ONLINE,58860.6,Net Banking,Investment,real estate investment online,real,6
TXN000076,2024-07-21,GIFT PURCHASE,8288.7,Debit Card,Other,gift purchase,gift,6
TXN000077,2025-08-16,HOSPITAL BILL #1758,7929.36,Debit Card,Healthcare,hospital bill,hospital,5
TXN000078,2025-04-05,HOSTEL RENT,23308.75,Debit Card,Rent,hostel rent,hostel,5
TXN000079,2026-03-30,VEDANTU CLASSES #9265,26686.54,Net Banking,Education,vedantu classes,vedantu,0
TXN000080,2024-01-22,POS BMTC BUS TICKET,3327.21,UPI,Travel,pos bmtc bus ticket,bmtc,0
TXN000081,2025-08-19,Travel Agency,4707.61,UPI,Travel,travel agency,travel,1
TXN000082,2025-08-15,POS PORTFOLIO INVESTMENT,105950.0,Debit Card,Investment,pos portfolio investment,portfolio,4
TXN000083,2025-01-14,ZOO ENTRY TICKET,1741.65,Net Banking,Entertainment,zoo entry ticket,zoo,1
TXN000084,2025-06-27,HATHWAY BROADBAND PUNE,11553.31,UPI,Bills,hathway broadband pune,hathway,4
TXN000085,2025-11-15,UPI RETIREMENT FUND,148708.53,Debit Card,Investment,upi retirement fund,retirement,5
TXN000086,2024-03-17,MCDONALD'S #1014,722.32,UPI,Food,mcdonald s,mcdonald,6
TXN000087,2024-11-01,POS DISNEY+ HOTSTAR,4960.42,Wallet,Entertainment,pos disney hotstar,disney,4
TXN000088,2024-09-06,FORTIS HOSPITAL #9022,4727.13,Wallet,Healthcare,fortis hospital,fortis,4
TXN000089,2024-04-19,THE BELGIAN WAFFLE CO INDIA,525.48,UPI,Food,the belgian waffle co india,the,4
TXN000090,2025-05-20,INDIAN OIL FUEL #8614,2657.19,Debit Card,Fuel,indian oil fuel,indian,1
TXN000091,2024-08-27,KEM HOSPITAL INDIA,11656.94,Credit Card,Healthcare,kem hospital india,kem,1
TXN000092,2025-09-17,UPI INTEREST CREDIT,127218.54,Credit Card,Income,upi interest credit,interest,2
TXN000093,2026-04-21,IMPS TRANSFER INDIA,4399.51,UPI,Other,imps transfer india,transfer,1
TXN000094,2024-11-27,POS INCENTIVE CREDIT,214680.19,Cash,Income,pos incentive credit,incentive,2
TXN000095,2026-06-04,POS MAKEMYTRIP HOTEL,1295.38,Credit Card,Travel,pos makemytrip hotel,makemytrip,3
TXN000096,2025-02-10,PASSPORT FEE ONLINE,5319.8,Net Banking,Other,passport fee online,passport,0
TXN000097,2025-04-20,EASEMYTRIP BOOKING,6078.99,Debit Card,Travel,easemytrip booking,easemytrip,6
TXN000098,2024-08-21,PEPPERFRY PUNE,20132.59,UPI,Shopping,pepperfry pune,pepperfry,2
TXN000099,2025-12-06,POS STATIONERY SHOP,15673.02,Credit Card,Shopping,pos stationery shop,stationery,5
TXN000100,2024-11-01,JEHANGIR HOSPITAL #6454,11751.65,Credit Card,Healthcare,jehangir hospital,jehangir,4
TXN000101,2025-09-18,VEHICLE FUEL ONLINE,4946.16,Debit Card,Fuel,vehicle fuel online,vehicle,3
TXN000102,2024-06-08,UPI RTGS TRANSFER,8900.25,Cash,Other,upi rtgs transfer,transfer,5
TXN000103,2025-06-11,INDIGO FLIGHT PUNE,5303.68,Wallet,Travel,indigo flight pune,indigo,2
TXN000104,2025-12-22,NOTEBOOK PURCHASE,92504.95,Cash,Education,notebook purchase,notebook,0
TXN000105,2026-03-25,NGO DONATION PUNE,7425.03,Wallet,Other,ngo donation pune,ngo,2
TXN000106,2024-12-29,BIG BAZAAR #5300,11207.3,Net Banking,Shopping,big bazaar,big,6
TXN000107,2025-01-18,YOUTUBE REVENUE INDIA,117593.51,Cash,Income,youtube revenue india,youtube,5
TXN000108,2024-01-30,UPI VACCINATION,11698.61,Cash,Healthcare,upi vaccination,vaccination,1
TXN000109,2024-08-05,FREE FIRE DIAMONDS INDIA,3369.44,UPI,Entertainment,free fire diamonds india,free,0
TXN000110,2025-10-23,WEEKEND MOVIE #6034,743.21,Net Banking,Entertainment,weekend movie,weekend,3
TXN000111,2026-02-26,Medical Expenses,9736.31,Credit Card,Healthcare,medical expenses,medical,3
TXN000112,2024-10-26,UPI AMAZON PRIME VIDEO,1706.89,Wallet,Entertainment,upi amazon prime video,amazon,5
TXN000113,2026-01-06,POS SILVER INVESTMENT,111792.98,Wallet,Investment,pos silver investment,silver,1
TXN000114,2025-03-19,Internship Stipend,183858.79,Credit Card,Income,internship stipend,internship,2
TXN000115,2025-12-31,POS YOUTUBE PREMIUM,489.62,Debit Card,Entertainment,pos youtube premium,youtube,2
TXN000116,2025-10-23,BEST BUS TICKET PUNE,6136.7,Credit Card,Travel,best bus ticket pune,best,3
TXN000117,2025-05-09,PARKING FEE ONLINE,1360.62,Credit Card,Travel,parking fee online,parking,4
TXN000118,2026-06-14,SAGAR RATNA,139.68,Credit Card,Food,sagar ratna,sagar,6
TXN000119,2025-02-14,BITCOIN INVESTMENT PUNE,87254.92,Wallet,Investment,bitcoin investment pune,bitcoin,4
TXN000120,2024-01-07,HYDERABAD METRO ONLINE,6544.65,Net Banking,Travel,hyderabad metro online,hyderabad,6
TXN000121,2026-05-06,POS TRAVEL INSURANCE,5577.62,Cash,Travel,pos travel insurance,travel,2
TXN000122,2025-06-06,COLLEGE CANTEEN FEE INDIA,99537.33,Debit Card,Education,college canteen fee india,college,4
TXN000123,2025-10-31,AMAZON PAY #3186,19565.32,Wallet,Shopping,amazon pay,amazon,4
TXN000124,2024-09-03,TAX SAVING MUTUAL FUND #7404,30998.54,Wallet,Investment,tax saving mutual fund,tax,1
TXN000125,2025-09-07,AMAZON PAY #2981,15642.38,Debit Card,Shopping,amazon pay,amazon,6
TXN000126,2025-01-22,BOAT LIFESTYLE INDIA,15271.57,Cash,Shopping,boat lifestyle india,boat,2
TXN000127,2026-04-02,SMALLCASE INVESTMENT #4899,178899.35,Credit Card,Investment,smallcase investment,smallcase,3
TXN000128,2025-04-13,AUTO FUEL PUNE,3938.09,Credit Card,Fuel,auto fuel pune,auto,6
TXN000129,2025-03-17,POS HIGHWAY FUEL STOP,772.26,Cash,Fuel,pos highway fuel stop,highway,0
TXN000130,2024-04-02,PG RENT,5346.19,Debit Card,Rent,pg rent,pg,1
TXN000131,2025-07-22,DIVIDEND CREDIT INDIA,159313.96,Credit Card,Income,dividend credit india,dividend,1
TXN000132,2025-11-24,PROPERTY LEASE ONLINE,33210.62,Cash,Rent,property lease online,property,0
TXN000133,2024-02-15,POS LEASE PAYMENT,18035.42,Credit Card,Rent,pos lease payment,lease,3
TXN000134,2024-08-27,COMPANY SALARY INDIA,86949.01,Debit Card,Income,company salary india,company,1
TXN000135,2024-05-11,SUBWAY ONLINE,1146.72,Credit Card,Food,subway online,subway,5
TXN000136,2025-12-22,PROPERTY LEASE ONLINE,30746.69,UPI,Rent,property lease online,property,0
TXN000137,2025-06-15,UTILITY BILL PAYMENT PUNE,4770.89,Net Banking,Bills,utility bill payment pune,utility,6
TXN000138,2026-04-07,POS NPTEL COURSE,16847.32,UPI,Education,pos nptel course,nptel,1
TXN000139,2024-07-06,CAPITAL INVESTMENT INDIA,126300.55,UPI,Investment,capital investment india,capital,5
TXN000140,2024-08-01,POS RESTAURANT BILL,630.78,Debit Card,Food,pos restaurant bill,restaurant,3
TXN000141,2025-09-12,BROADBAND BILL INDIA,8916.6,Debit Card,Bills,broadband bill india,broadband,4
TXN000142,2025-01-21,PARKING FEE,4225.8,Wallet,Travel,parking fee,parking,1
TXN000143,2024-04-17,PANTALOONS ONLINE,3818.58,UPI,Shopping,pantaloons online,pantaloons,2
TXN000144,2026-03-09,BAKERY PURCHASE #1441,510.11,Credit Card,Food,bakery purchase,bakery,0
TXN000145,2024-12-21,COMPETITION REGISTRATION INDIA,21076.42,Wallet,Education,competition registration india,competition,5
TXN000146,2026-06-30,POS PHYSIOTHERAPY SESSION,5273.54,Cash,Healthcare,pos physiotherapy session,physiotherapy,1
TXN000147,2024-10-15,RELIANCE DIGITAL INDIA,21417.38,Debit Card,Shopping,reliance digital india,reliance,1
TXN000148,2024-12-06,UPI MEDPLUS PHARMACY,14717.59,Debit Card,Healthcare,upi medplus pharmacy,medplus,4
TXN000149,2025-05-14,POS YOUTUBE PREMIUM,736.05,Net Banking,Bills,pos youtube premium,youtube,2
TXN000150,2024-02-14,THEATRE TICKET INDIA,2369.48,Wallet,Entertainment,theatre ticket india,theatre,2
TXN000151,2024-12-09,UPI DISH TV RECHARGE,3984.75,UPI,Bills,upi dish tv recharge,dish,0
TXN000152,2024-07-22,JUICE CENTER PUNE,132.73,Debit Card,Food,juice center pune,juice,0
TXN000153,2025-03-21,UPI CANTEEN PAYMENT,1419.42,Wallet,Food,upi canteen payment,canteen,4
TXN000154,2024-09-08,Rental Car,4154.11,UPI,Travel,rental car,rental,6
TXN000155,2024-03-19,Workshop Registration,39689.73,Net Banking,Education,workshop registration,workshop,1
TXN000156,2025-09-14,BIRYANI BY KILO INDIA,1490.89,Credit Card,Food,biryani by kilo india,biryani,6
TXN000157,2025-01-29,UPI SPOTIFY PREMIUM,115.48,Cash,Entertainment,upi spotify premium,spotify,2
TXN000158,2024-11-12,UPI ONLINE EARNINGS,103543.58,Credit Card,Income,upi online earnings,online,1
TXN000159,2024-03-02,TRUCK FUEL #8505,2223.67,Wallet,Fuel,truck fuel,truck,5
TXN000160,2024-05-08,RAPIDO AUTO INDIA,711.14,UPI,Travel,rapido auto india,rapido,2
TXN000161,2024-07-11,UPI INDIGO FLIGHT,6543.96,Credit Card,Travel,upi indigo flight,indigo,3
TXN000162,2024-03-25,COVID TEST PUNE,9069.47,Wallet,Healthcare,covid test pune,covid,0
TXN000163,2024-09-27,POS RAILWAY PLATFORM TICKET,7290.96,Debit Card,Travel,pos railway platform ticket,railway,4
TXN000164,2024-11-12,UPI GOLD INVESTMENT,64635.9,Wallet,Investment,upi gold investment,gold,1
TXN000165,2025-02-20,OLA OUTSTATION #6134,1351.08,Debit Card,Travel,ola outstation,ola,3
TXN000166,2025-07-22,MakeMyTrip Flight,4072.06,Net Banking,Travel,makemytrip flight,makemytrip,1
TXN000167,2024-05-02,SWIGGY BENGALURU ONLINE,460.58,Wallet,Food,swiggy bengaluru online,swiggy,3
TXN000168,2025-03-15,FRESHMENU,1098.21,Cash,Food,freshmenu,freshmenu,5
TXN000169,2025-12-23,APOLLO PHARMACY,10909.61,Credit Card,Healthcare,apollo pharmacy,apollo,1
TXN000170,2025-05-30,POS CHEQUE DEPOSIT,9433.21,UPI,Other,pos cheque deposit,cheque,4
TXN000171,2024-08-01,POS MISCELLANEOUS EXPENSE,222.36,Debit Card,Other,pos miscellaneous expense,miscellaneous,3
TXN000172,2025-12-13,YOUTUBE PREMIUM ONLINE,1872.75,Cash,Entertainment,youtube premium online,youtube,5
TXN000173,2025-02-16,INDANE GAS #6186,8005.14,Credit Card,Bills,indane gas,indane,6
TXN000174,2024-01-29,POS PROPERTY TAX,4628.11,Debit Card,Bills,pos property tax,property,0
TXN000175,2025-11-30,PEPPERFRY PUNE,11545.43,Wallet,Shopping,pepperfry pune,pepperfry,6
TXN000176,2024-06-28,SOCIETY MAINTENANCE,3322.74,Cash,Bills,society maintenance,society,4
TXN000177,2025-05-02,Home Centre,6758.32,UPI,Shopping,home centre,home,4
TXN000178,2024-07-09,CARE HOSPITAL ONLINE,1881.77,Cash,Healthcare,care hospital online,care,1
TXN000179,2024-05-14,PHYSIOTHERAPY SESSION PUNE,5807.26,Debit Card,Healthcare,physiotherapy session pune,physiotherapy,1
TXN000180,2026-05-23,GITHUB PRO SUBSCRIPTION PUNE,1726.88,UPI,Bills,github pro subscription pune,github,5
TXN000181,2025-08-24,ANNUAL MEMBERSHIP FEE INDIA,6197.34,Net Banking,Other,annual membership fee india,annual,6
TXN000182,2025-06-16,CONCERT TICKET ONLINE,4452.6,Net Banking,Entertainment,concert ticket online,concert,0
TXN000183,2025-11-08,Theobroma,1167.03,Net Banking,Food,theobroma,theobroma,5
TXN000184,2025-04-03,UDEMY COURSE #8448,95658.7,Debit Card,Education,udemy course,udemy,3
TXN000185,2024-11-11,GITHUB PRO SUBSCRIPTION #5737,6736.0,Debit Card,Bills,github pro subscription,github,0
TXN000186,2024-03-24,Flipkart,22567.05,Cash,Shopping,flipkart,flipkart,6
TXN000187,2025-05-05,BHARAT PETROLEUM PUNE,2201.71,Credit Card,Fuel,bharat petroleum pune,bharat,0
TXN000188,2024-07-25,POS LOCAL TRAIN TICKET,6346.89,Wallet,Travel,pos local train ticket,local,3
TXN000189,2024-03-26,BGMI UC PURCHASE,727.05,UPI,Entertainment,bgmi uc purchase,bgmi,1
TXN000190,2024-06-13,POS FESTIVAL BONUS,123331.58,Credit Card,Income,pos festival bonus,festival,3
TXN000191,2024-08-24,VEHICLE REFUELING INDIA,3110.43,Cash,Fuel,vehicle refueling india,vehicle,5
TXN000192,2024-10-11,UPI HOUSE MAINTENANCE,6784.91,Cash,Bills,upi house maintenance,house,4
TXN000193,2024-08-29,Security Deposit,40403.51,Net Banking,Rent,security deposit,security,3
TXN000194,2026-05-29,COMMISSION CREDIT INDIA,123140.72,UPI,Income,commission credit india,commission,4
TXN000195,2024-11-14,HYPERMARKET PURCHASE PUNE,6457.3,Wallet,Shopping,hypermarket purchase pune,hypermarket,3
TXN000196,2025-07-12,UPI HP PETROL PUMP,4785.55,UPI,Fuel,upi hp petrol pump,hp,5
TXN000197,2025-06-05,ZOMATO GOLD,965.61,Cash,Food,zomato gold,zomato,3
TXN000198,2025-11-03,JIOHOTSTAR SUBSCRIPTION,2461.2,Credit Card,Entertainment,jiohotstar subscription,jiohotstar,0
TXN000199,2024-10-07,PVR Cinemas,1674.66,Cash,Entertainment,pvr cinemas,pvr,0
TXN000200,2024-04-17,POS CHARITY PAYMENT,2204.94,UPI,Other,pos charity payment,charity,2
TXN000201,2025-11-11,Uber Moto,5240.43,Wallet,Travel,uber moto,uber,1
TXN000202,2024-06-25,UPI NETFLIX SUBSCRIPTION,3183.79,Cash,Entertainment,upi netflix subscription,netflix,1
TXN000203,2024-11-25,STATE TRANSPORT BUS #7310,1004.24,Debit Card,Travel,state transport bus,state,0
TXN000204,2025-09-09,PETROL BUNK ONLINE,1759.99,Net Banking,Fuel,petrol bunk online,petrol,1
TXN000205,2026-05-01,ENTERTAINMENT EXPENSE,3714.83,Wallet,Entertainment,entertainment expense,entertainment,4
TXN000206,2025-01-14,UPI UDEMY COURSE,12886.67,UPI,Education,upi udemy course,udemy,1
TXN000207,2024-08-22,POS FASTAG RECHARGE,1874.05,Net Banking,Fuel,pos fastag recharge,fastag,3
TXN000208,2025-03-19,GOOGLE ONE SUBSCRIPTION ONLINE,1939.53,UPI,Bills,google one subscription online,google,2
TXN000209,2025-06-13,LEASE PAYMENT ONLINE,18170.39,UPI,Rent,lease payment online,lease,4
TXN000210,2025-10-27,PRIME MEMBERSHIP INDIA,4459.06,Wallet,Entertainment,prime membership india,prime,0
TXN000211,2026-06-21,BGMI UC Purchase,333.23,Wallet,Entertainment,bgmi uc purchase,bgmi,6
TXN000212,2025-12-19,UPI APOLLO HOSPITAL,4439.88,Debit Card,Healthcare,upi apollo hospital,apollo,4
TXN000213,2024-01-15,INOX CINEMAS INDIA,4668.97,UPI,Entertainment,inox cinemas india,inox,0
TXN000214,2024-02-11,TENANT RENT,5403.63,Net Banking,Rent,tenant rent,tenant,6
TXN000215,2024-05-08,POS CLIENT PAYMENT,162020.57,Credit Card,Income,pos client payment,client,2
TXN000216,2024-02-05,CLOUD STORAGE SUBSCRIPTION,2498.29,Credit Card,Bills,cloud storage subscription,cloud,0
TXN000217,2024-02-13,FLAT RENT ONLINE,48862.28,Credit Card,Rent,flat rent online,flat,1
TXN000218,2024-05-28,POS NEFT CREDIT,165540.36,Wallet,Income,pos neft credit,credit,1
TXN000219,2025-06-02,UPI WAREHOUSE RENT,48375.97,Debit Card,Rent,upi warehouse rent,warehouse,0
TXN000220,2026-02-17,CAPITAL INVESTMENT INDIA,4516.07,Debit Card,Investment,capital investment india,capital,1
TXN000221,2024-08-29,CHARGEZONE EV INDIA,1667.04,Cash,Fuel,chargezone ev india,chargezone,3
TXN000222,2026-05-13,PHYSICS WALLAH COURSE ONLINE,98236.63,Credit Card,Education,physics wallah course online,physics,2
TXN000223,2024-03-08,NGO DONATION PUNE,2054.54,Cash,Other,ngo donation pune,ngo,4
TXN000224,2025-03-30,HYPERMARKET PURCHASE INDIA,5125.3,UPI,Shopping,hypermarket purchase india,hypermarket,6
TXN000225,2026-05-18,BHARAT PETROLEUM INDIA,626.26,Debit Card,Fuel,bharat petroleum india,bharat,0
TXN000226,2024-10-07,POS CRICKET MATCH TICKET,3064.8,Credit Card,Entertainment,pos cricket match ticket,cricket,0
TXN000227,2024-10-13,POS BEST BUS TICKET,3209.95,UPI,Travel,pos best bus ticket,best,6
TXN000228,2024-09-02,HP FUEL STATION #8818,3329.21,Credit Card,Fuel,hp fuel station,hp,0
TXN000229,2025-06-01,Local Restaurant,231.06,Credit Card,Food,local restaurant,local,6
TXN000230,2024-09-16,Project Payment,56354.17,Wallet,Income,project payment,project,0
TXN000231,2026-02-26,MUNICIPAL WATER BILL PUNE,11815.67,Wallet,Bills,municipal water bill pune,municipal,3
TXN000232,2024-07-06,POS BUSINESS INCOME,168674.86,Wallet,Income,pos business income,business,5
TXN000233,2025-01-19,Water Bill,3294.04,Debit Card,Bills,water bill,water,6
TXN000234,2025-04-21,UPI NETFLIX SUBSCRIPTION,1304.08,Credit Card,Entertainment,upi netflix subscription,netflix,0
TXN000235,2024-12-14,POS SHOP RENT,31314.09,Credit Card,Rent,pos shop rent,shop,5
TXN000236,2024-12-01,FREELANCE PAYMENT #5092,16875.02,UPI,Income,freelance payment,freelance,6
TXN000237,2025-10-19,HOSTEL RENT INDIA,17117.37,UPI,Rent,hostel rent india,hostel,6
TXN000238,2025-01-27,COVID TEST,12896.61,Wallet,Healthcare,covid test,covid,0
TXN000239,2025-04-09,CHINESE RESTAURANT PUNE,990.91,Cash,Food,chinese restaurant pune,chinese,2
TXN000240,2024-06-05,CLOTHES INDIA,10987.28,Net Banking,Shopping,clothes india,clothes,2
TXN000241,2024-05-25,UPI SEMINAR FEE,52916.87,Wallet,Education,upi seminar fee,seminar,5
TXN000242,2024-05-10,COMMERCIAL VEHICLE FUEL PUNE,4014.32,Wallet,Fuel,commercial vehicle fuel pune,commercial,4
TXN000243,2025-08-17,UPI VITAMIN SUPPLEMENTS,1311.66,UPI,Healthcare,upi vitamin supplements,vitamin,6
TXN000244,2024-03-14,UPI PROPERTY TAX,8925.87,Cash,Bills,upi property tax,property,3
TXN000245,2026-03-04,MEDICAL STORE PURCHASE ONLINE,18423.21,UPI,Shopping,medical store purchase online,medical,2
TXN000246,2026-04-17,BARBEQUE NATION INDIA,343.87,Cash,Food,barbeque nation india,barbeque,4
TXN000247,2024-11-22,RETIREMENT FUND #4024,51487.67,UPI,Investment,retirement fund,retirement,4
TXN000248,2026-03-30,Truck Fuel,3336.68,Credit Card,Fuel,truck fuel,truck,0
TXN000249,2024-01-04,PPF DEPOSIT,78575.42,Debit Card,Investment,ppf deposit,ppf,3
TXN000250,2024-03-21,ETHEREUM INVESTMENT INDIA,197631.0,Debit Card,Investment,ethereum investment india,ethereum,3
TXN000251,2025-05-15,X-RAY CHARGES ONLINE,3374.52,UPI,Healthcare,x ray charges online,x,3
TXN000252,2026-06-29,UPI VEHICLE REFUELING,2865.11,Cash,Fuel,upi vehicle refueling,vehicle,0
TXN000253,2024-12-27,DIAGNOSTIC LAB INDIA,14354.42,Credit Card,Healthcare,diagnostic lab india,diagnostic,4
